Exchange Date,Close,%Chg,Volume
04-Sep-2012,55.525,-0.007 ,4232473 
05-Sep-2012,55.287,-0.001 ,4599741 
06-Sep-2012,55.949,0.003 ,3507872 
07-Sep-2012,56.385,-0.002 ,2876402 
10-Sep-2012,55.974,-0.002 ,3201812 
11-Sep-2012,56.183,-0.006 ,3225079 
12-Sep-2012,57.309,0.016 ,5046916 
13-Sep-2012,57.683,-0.001 ,2427758 
14-Sep-2012,57.978,0.005 ,3717860 
17-Sep-2012,57.592,0.000 ,3601355 
18-Sep-2012,57.471,0.000 ,3444835 
19-Sep-2012,57.660,0.001 ,5669309 
20-Sep-2012,57.040,-0.007 ,7717535 
21-Sep-2012,57.359,0.003 ,2980138 
24-Sep-2012,57.072,-0.001 ,5256199 
25-Sep-2012,57.129,0.004 ,3623898 
26-Sep-2012,57.081,0.001 ,2995353 
27-Sep-2012,57.955,0.008 ,4556089 
28-Sep-2012,57.560,-0.001 ,12447407 
01-Oct-2012,57.526,0.001 ,1427308 
02-Oct-2012,57.215,0.003 ,2695026 
03-Oct-2012,56.884,-0.001 ,2354941 
04-Oct-2012,57.583,0.010 ,3167199 
05-Oct-2012,57.567,0.005 ,2683764 
08-Oct-2012,57.320,-0.005 ,2687146 
09-Oct-2012,57.552,0.002 ,3286989 
10-Oct-2012,57.629,-0.001 ,2927928 
11-Oct-2012,57.923,0.002 ,4109469 
12-Oct-2012,57.838,0.002 ,2141426 
15-Oct-2012,58.021,0.001 ,2699187 
16-Oct-2012,58.315,0.003 ,2650272 
17-Oct-2012,58.836,-0.002 ,3849608 
18-Oct-2012,58.813,0.001 ,3690739 
19-Oct-2012,58.393,-0.004 ,3769357 
22-Oct-2012,58.168,-0.003 ,3281023 
23-Oct-2012,58.291,0.008 ,3371988 
24-Oct-2012,58.776,-0.000 ,3561495 
25-Oct-2012,58.951,0.004 ,2413466 
26-Oct-2012,58.647,-0.008 ,10481727 
29-Oct-2012,58.348,-0.001 ,1865162 
30-Oct-2012,59.041,0.009 ,2519043 
31-Oct-2012,59.581,0.008 ,4335242 
01-Nov-2012,59.228,-0.008 ,4265983 
02-Nov-2012,58.949,0.002 ,3737129 
05-Nov-2012,59.145,0.001 ,2415925 
06-Nov-2012,59.622,0.001 ,1513073 
07-Nov-2012,59.816,0.006 ,2905006 
08-Nov-2012,60.186,0.007 ,3365039 
09-Nov-2012,60.743,0.011 ,5388102 
12-Nov-2012,61.596,0.010 ,3376657 
13-Nov-2012,60.894,-0.012 ,4998108 
14-Nov-2012,60.969,0.007 ,3402219 
15-Nov-2012,60.305,-0.007 ,3629303 
16-Nov-2012,59.942,-0.007 ,4393727 
19-Nov-2012,60.201,-0.002 ,3179823 
20-Nov-2012,59.821,-0.004 ,3200937 
21-Nov-2012,59.675,-0.001 ,2548953 
22-Nov-2012,60.612,0.014 ,2660773 
23-Nov-2012,61.317,0.005 ,1978944 
26-Nov-2012,61.531,0.003 ,2626652 
27-Nov-2012,61.527,0.001 ,2859974 
28-Nov-2012,61.448,-0.004 ,3164789 
29-Nov-2012,61.667,0.008 ,3396824 
